Timestamp,How old are you?,Industry,Functional area of job,Job title,Job title - additional context,Annual salary (gross),Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City,Remote or on-site?,"Years of experience, overall",Years of experience in field,Highest level of education completed,Gender,Race
4/11/2023 11:30:30,25-34,Nonprofits,Nonprofits,Executive Director,Run a small membership association,84000,8400,USD,,,United States,Colorado,Denver,Hybrid,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 11:30:33,25-34,Video Games,Social Media,Senior Community Manager,,130000,25000,USD,,,United States,California,Irvine,Hybrid,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 11:30:36,45-54,Health care,Business or Consulting,Business Analyst,,63000,2000,USD,,,United States,Pennsylvania,Newtown Square,Fully remote,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 11:30:39,45-54,Health care,Computing or Tech,Information Technology Director ,,80000,0,USD,,,United States,Ohio,Youngstown,On-site,21-30 years,21-30 years,Some college,Woman,White
4/11/2023 11:30:41,25-34,Government & Public Administration,"Galleries, Libraries, Archives & Museums",Museum Technician,,43000,,USD,,,United States,California,Southeastern California (rural),On-site,2-4 years,2-4 years,Master's degree,Woman,White
4/11/2023 11:30:42,25-34,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Lead Archivist,"not a department head, I run a unit within a large archives technical services department",63085,0,USD,,,United States,Ohio,Columbus,On-site,8-10 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:30:42,45-54,,,PRESIDENT,,280000,19000,USD,,,United States,,"BUTTE, MT",On-site,31-40 years,31-40 years,Master's degree,Man,"Asian or Asian American, White"
4/11/2023 11:30:42,35-44,Health care,Health care,Program Manager,Supervising PSWs,75000,8000,CAD,,,Canada,,Toronto,On-site,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:30:44,25-34,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Library Shelver,I'm a grad student employed part-time by my university,26832,,EUR,,"I am part-time and work a maximum of 20 hours a week, so my maximum annual salary is actually €13416.",Ireland,,Dublin,On-site,8-10 years,1 year or less,Master's degree,Woman,White
4/11/2023 11:30:45,35-44,Energy,Science,Geoscientist II,,110000,2000,USD,,,United States,Colorado,Denver,On-site,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:30:47,45-54,Computing or Tech,Cybersecurity,Technical Writer,,100000,37000,USD,,,United States,Texas,San Antonio,Fully remote,21-30 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:30:47,35-44,Health care,Health care,Senior Psychiatric Associate,Direct patient care for mental health and addiction patients ,61440,0,USD,,,United States,Minnesota,Minneapolis ,On-site,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 11:30:47,35-44,Health care,"Accounting, Banking & Finance",Patient Coordinator,Front desk- dental office,45760,1000,USD,,,United States,Illinois,North Barrington ,On-site,21-30 years,11-20 years,Some college,Woman,White
4/11/2023 11:30:51,35-44,Education (Higher Education),Science,Research Coordinator,,66000,,USD,,,United States,Minnesota,Minneapolis,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:30:52,35-44,Media & Digital,Nonprofits,Editor,,70000,0,CAD,,,Canada,,Toronto,Hybrid,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 11:30:53,35-44,Health care,"Marketing, Advertising & PR",SEO Manager,,104000,,USD,,,United States,New York,"NY, NY",Hybrid,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:30:55,55-64,Education (Higher Education),Education (Higher Education),Lecturer,,40931,0,GBP,,,United Kingdom,,Plymouth UK,Hybrid,31-40 years,2-4 years,Master's degree,Woman,White
4/11/2023 11:30:56,25-34,Property or Construction,Property or Construction,Project Engineer ,"Equivalent to assistant project manager, no actual engineering involved ",87000,,USD,,,United States,California,San Leandro,On-site,8-10 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/11/2023 11:30:58,35-44,Architecture,Architecture,Architect,,72000,0,CAD,,,Canada,,Toronto,Hybrid,8-10 years,5-7 years,Master's degree,Man,White
4/11/2023 11:30:59,45-54,Law,Law,Legal Assistant,Legal assistant with paralegal duties,65000,5000,USD,,,United States,Massachusetts,Worcester,On-site,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:30:59,45-54,Nonprofits,Education (Higher Education),Senior Program Manager,,108000,0,USD,,,United States,Washington,Seattle ,Hybrid,21-30 years,11-20 years,PhD,Woman,White
4/11/2023 11:31:01,35-44,Government & Public Administration,Computing or Tech,Implementation specialist ,,75000,1000,USD,,,United States,Minnesota,St. Paul,Fully remote,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:31:01,35-44,Engineering or Manufacturing,Engineering or Manufacturing,EH&S Regional Specialist,,140000,14000,USD,,,United States,Kentucky,Louisville ,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:31:01,35-44,Engineering or Manufacturing,Science,Lead Food Designer ,I’m a mid level Food Scientist ,125000,13000,USD,,,United States,Michigan,Battle Creek,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:30:59,55-64,"Accounting, Banking & Finance","Accounting, Banking & Finance",Chief Financial Officer,,215000,0,USD,,,United States,Missouri,St. Louis area,On-site,31-40 years,21-30 years,College degree,Woman,White
4/11/2023 11:31:01,45-54,Petroleum refining,Supply Chain,Senior Director,,240000,220000,USD,,Bonus includes restricted stock awards,United States,Ohio,Findlay,,21-30 years,21-30 years,Master's degree,Man,White
4/11/2023 11:31:04,65 or over,"Accounting, Banking & Finance",Human Resources,HR Manager,,99300,5350,USD,,,United States,Wisconsin,Muskego,Hybrid,41 years or more,21-30 years,Master's degree,Woman,White
4/11/2023 11:31:07,25-34,Business or Consulting,Administration,Project Manager,,69000,,USD,,,United States,New York,New York,Fully remote,5-7 years,1 year or less,College degree,Man,White
4/11/2023 11:31:08,35-44,"Leisure, Sport & Tourism",Education (Primary/Secondary),Training Manager,,72000,3000,USD,,,United States,Utah,Salt Lake City,Fully remote,11-20 years,11-20 years,High School,"Man, Non-binary",White
4/11/2023 11:31:09,25-34,Education (Higher Education),Education (Higher Education),Assistant Professor,I'm in a humanities department of a flagship state university. ,90000,10000,USD,,"The extra 10 grand is 1/9 of summer salary (my normal paychecks are for the academic year, from August to May)",United States,Wisconsin,"Madison, WI",On-site,8-10 years,8-10 years,PhD,Woman,White
4/11/2023 11:31:09,55-64,Utilities & Telecommunications,Computing or Tech,Technical (Specialized) Support,Technical support of various applications,103000,3500,USD,,,United States,Connecticut,Fairfield,Hybrid,31-40 years,21-30 years,College degree,Woman,White
4/11/2023 11:31:09,35-44,Insurance,CyberSecurity,CyberSecurity Specialist,,102000,10000,USD,,,United States,Oklahoma,Oklahoma City,Fully remote,11-20 years,2-4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/11/2023 11:31:10,25-34,Education (Higher Education),Hospitality & Events,Assistant Director for Major Events,I work in higher education admissions as an event coordinator for large-scale prospective student events,44100,2000,USD,,"I work in public higher ed, so bonuses are usually rare and at the mercy of our university leadership or the governor",United States,Virginia,Shenandoah Valley,On-site,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 11:31:10,55-64,Mortgage,Computing or Tech,Agile Coach,,124000,18000,USD,,,United States,Michigan,Detroit,Hybrid,31-40 years,11-20 years,Master's degree,Man,White
4/11/2023 11:31:12,25-34,Hospitality & Events,Sales,Sales  manager,,48500,12000,USD,,,United States,Florida,West Palm Beach,On-site,5-7 years,2-4 years,College degree,Man,White
4/11/2023 11:31:13,35-44,Health care,Health care,Doctor of Audiology,,75000,15000,USD,,,United States,Louisiana,Lafayette,On-site,11-20 years,11-20 years,PhD,Woman,White
4/11/2023 11:31:14,35-44,Education (Higher Education),Education (Higher Education),Program Manager,"Program as in activities, not technology; activities as in trainings, events and other educational supports",96000,0,USD,,,United States,North Carolina,Durham,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:31:15,35-44,Nonprofits,Nonprofits,"Senior Manager, Operations",,100000,0,USD,,,United States,California,Milpitad,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:31:15,25-34,Computing or Tech,Computing or Tech,Member of Technical Staff 3,"This is the highest level before ""Senior Member of Technical Staff"" which is equivalent to ""Senior Developer/Engineer""",153000,16000,USD,,,United States,Texas,Austin,Hybrid,8-10 years,8-10 years,College degree,Man,White
4/11/2023 11:31:15,25-34,Government & Public Administration,Budgeting and Legislative Analysis,Associate Director-Fiscal Analyst,,101000,0,USD,,,United States,Michigan,Lansing,Hybrid,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:31:15,25-34,"Leisure, Sport & Tourism","Marketing, Advertising & PR",Director of Communications & Outreach,,115875,13900,USD,,,United States,New York,New York,Fully remote,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:31:16,25-34,Engineering or Manufacturing,Engineering or Manufacturing,Yield engineer,,124000,15000,USD,,,United States,Oregon,Portland,Hybrid,1 year or less,1 year or less,PhD,Woman,White
4/11/2023 11:31:17,35-44,Law,Law,Lawyer,Partner in a small firm,170000,0,CAD,,,Canada,,"Ottawa, Ontario",On-site,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:31:17,35-44,Property or Construction,"Accounting, Banking & Finance",Cash Specialist,Collections/AR,45000,0,USD,,,United States,Massachusetts,Remote,Fully remote,11-20 years,11-20 years,College degree,Man,White
4/11/2023 11:31:20,25-34,Education (Higher Education),Education (Higher Education),Assistant Professor,,150000,0,USD,,,United States,Massachusetts,Boston,Hybrid,5-7 years,5-7 years,PhD,Woman,White
4/11/2023 11:31:21,25-34,Retail,Administration,Customer Service Manager,"After a customer places an order, I have to analyse the order to make sure things like the addresses and contact numbers are there. I then upload the orders to the stock system, making sure everything is in stock and then I generate all the shipping labels and paperwork which is then handed over to the warehouse. I also deal with returns, emails sometimes and everything else that my manager can't/is unwilling to do.",23400,0,GBP,,,United Kingdom,,Portsmouth,Fully remote,2-4 years,2-4 years,Master's degree,Man,White
4/11/2023 11:31:21,45-54,Nonprofits,Health care,RN,,95000,0,USD,,,United States,Oregon,Portland,On-site,21-30 years,8-10 years,College degree,Woman,White
4/11/2023 11:31:25,35-44,Utilities & Telecommunications,Utilities & Telecommunications,Manager of Workforce Management,,125000,18750,USD,,,United States,Rhode Island,Providence,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:31:25,35-44,Education (Primary/Secondary),Education (Primary/Secondary),High school teacher,,54216,500,USD,,"Additional income comes from a $30 stipend per 80 minute class covered when there is a sub shortage, also $250 per day payment for curriculum work over the summer",United States,South Carolina,"Summerville, sc",On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:31:26,45-54,Health care,Administration,Manger,Hospital setting,108000,,CAD,,,Canada,,"London, Ontario",On-site,11-20 years,11-20 years,,Woman,White
4/11/2023 11:31:26,35-44,Retail,"Marketing, Advertising & PR",Copywriter,,64428,0,USD,,,United States,Illinois,Chicagoland,Fully remote,21-30 years,5-7 years,College degree,Woman,White
4/11/2023 11:31:26,45-54,Nonprofits,Nonprofits,Sr. State Advocacy Manager,,71400,1000,USD,,,United States,Idaho,Boise,Fully remote,31-40 years,5-7 years,College degree,Woman,White
4/11/2023 11:31:27,45-54,"Marketing, Advertising & PR",Computing or Tech,self employed freelance writer,,72000,0,USD,,,United States,North Carolina,Newton,Fully remote,31-40 years,21-30 years,College degree,Woman,White
4/11/2023 11:31:27,35-44,Health care,Social Work,Case Management Specialist,Hospital discharge/aftercare planning,43400,00,USD,,,United States,Kansas,Overland Park,On-site,21-30 years,11-20 years,Some college,Woman,White
4/11/2023 11:31:27,35-44,"Accounting, Banking & Finance",Computing or Tech,software architect,,158000,0,USD,,contractor,United States,Iowa,Cedar Rapids,Fully remote,5-7 years,2-4 years,High School,Man,White
4/11/2023 11:31:31,25-34,Computing or Tech,Computing or Tech,Software engineer,,160000,100000,USD,,,United States,Washington,Kirkland,Hybrid,8-10 years,8-10 years,College degree,Woman,Asian or Asian American
4/11/2023 11:31:29,45-54,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Metadata librarian,,81700,,USD,,,United States,Illinois,Evanston,Hybrid,21-30 years,21-30 years,Master's degree,Man,White
4/11/2023 11:31:29,45-54,Insurance,Account Management,Account Manager,Employee Benefits account manager responsible for selling to existing clients and retaining business.,105000,25000,USD,,,United States,Ohio,Columbus,Hybrid,11-20 years,11-20 years,Some college,Woman,White
4/11/2023 11:31:30,25-34,Government & Public Administration,Recruitment or HR,Management and Program Analyst,,83854,,USD,,,United States,Virginia,Norfolk locality pay,Fully remote,5-7 years,2-4 years,Master's degree,"Woman, Non-binary",White
4/11/2023 11:31:32,25-34,Engineering or Manufacturing,Computing or Tech,Principal Software Engineer,,145000,20000,USD,,,United States,Texas,Austin,Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:31:32,35-44,Education (Higher Education),Administration,Director of Operations ,,63000,0,GBP,,,United Kingdom,,Oxford,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:31:33,25-34,Business or Consulting,Government & Public Administration,Junior editor/writer,,54808,1300,USD,,Bonus taxes at a higher rate (only received about $800 after tax),United States,Virginia,Alexandria ,Fully remote,5-7 years,2-4 years,Master's degree,Woman,White
4/11/2023 11:31:36,25-34,Computing or Tech,Computing or Tech,Sr. ServiceNow Developer,,120000,10000,USD,,,United States,Arizona,Phoenix,Fully remote,8-10 years,5-7 years,College degree,Man,White
4/11/2023 11:31:36,25-34,,"Accounting, Banking & Finance",Senior Staff Accountant ,,85000,8000,USD,,,United States,Missouri,St. Louis,On-site,5-7 years,5-7 years,College degree,Man,White
4/11/2023 11:31:37,25-34,Insurance,"Marketing, Advertising & PR",Customer Experience Culture and Communications Specialist,It's a froo-froo title for a Communications Specialist ,60000,,USD,,Uncertain on additional compensation; this is my first year in this position. ,United States,Kansas,Topeka,Hybrid,5-7 years,2-4 years,College degree,Non-binary,White
4/11/2023 11:31:38,25-34,"Marketing, Advertising & PR","Marketing, Advertising & PR",senior copywriter,,115000,,USD,,,United States,California,los angeles,Hybrid,5-7 years,5-7 years,High School,Woman,White
4/11/2023 11:31:39,25-34,Health care,Health care,"Senior Manager, Medical Assistant, Receptionist",I do all three jobs depending on the day,50000,0,USD,,"Salaried, exempt from OT",United States,Maryland,Multiple across Maryland,Other/it's complicated,8-10 years,5-7 years,College degree,Woman,White
